hex_id,conteo
86b2eeaefffffff,3
86c2e2acfffffff,1
86c2e300fffffff,6
86c2e3027ffffff,2637
86c2e302fffffff,703
86c2e3037ffffff,13
86c2e3047ffffff,258
86c2e3067ffffff,60
86c2e306fffffff,8
86c2e3077ffffff,464
86c2e3107ffffff,3594
86c2e310fffffff,2756
86c2e3117ffffff,4138
86c2e311fffffff,7072
86c2e3127ffffff,584
86c2e312fffffff,2303
86c2e3137ffffff,216
86c2e3157ffffff,229
86c2e315fffffff,140
86c2e3177ffffff,277
86c2e31afffffff,1384
86c2e3327ffffff,2
86c2e388fffffff,65
86c2e38d7ffffff,483
86c2e3a87ffffff,1
86c2e3a8fffffff,2
86c2e3a97ffffff,8
86c2e3a9fffffff,1
86c2e3b9fffffff,2
86c2e3c07ffffff,2
86c2e3c57ffffff,6
86c2e3d6fffffff,1
